property_type,tenure,built_year,num_beds,num_baths,size_sqft,furnishing,subzone,planning_area,price,shop_dist,mrt_dist,commercials_dist,second_school_dist,primary_school_dist,density,available_unit_type_is_studio,available_unit_type_min_room,available_unit_type_max_room
house,tenure-100,1996,5,5,2700,partial,flora drive,pasir ris,2079000.0,102.97103746182795,102.97120437381066,102.9710649905089,102.9716206299515,102.97093421669746,15534.391534391536,studio,4,7
hdb,tenure-100,1995,4,2,1625,unspecified,mei chin,queenstown,1134000.0,102.8073877722037,102.80754124841377,102.80741306245379,102.80792531653287,102.80729300444219,20796.046480566314,studio,1,6
house,freehold,2010,5,6,7829,unspecified,malcolm,novena,11025000.0,102.83956547633231,102.83972432134384,102.8395916609488,102.8401212566629,102.83946732175302,2236.3732848154045,other,5,5
hdb,tenure-100,1996,3,2,1560,unspecified,kaki bukit,bedok,934500.0,102.91160890797285,102.91177010660986,102.91163548482437,102.9121726737178,102.9115092675054,13169.088975540588,other,1,4
apartment,tenure-100,2007,1,1,657,unspecified,bras basah,museum,1365000.0,102.8529793012804,102.85313276671624,102.85300458985739,102.85351680187014,102.85288453941376,45.70383912248629,studio,1,3
house,freehold,2025,4,5,4716,unspecified,mountbatten,marine parade,8059800.0,102.89573228383298,102.89588685122247,102.89575775607615,102.89627352173686,102.8956368261042,5829.779776856125,studio,4,7
hdb,tenure-100,1985,2,2,721,unspecified,tampines east,tampines,388500.0,102.95659799474952,102.95676319324699,102.95662523797704,102.95717534339121,102.95649583062405,30154.01616133711,studio,1,5
apartment,freehold,2010,3,2,1561,unspecified,cairnhill,newton,3832500.0,102.83917839658146,102.83933423799535,102.83920408088802,102.83972397195147,102.83908213642307,8593.576965669989,other,2,4
condo,tenure-100,2017,2,2,1098,partial,cecil,downtown core,2719500.0,102.85211469540528,102.85226477067974,102.85213941928123,102.85264067771887,102.85202207178024,1322.4821973550356,studio,1,5
apartment,freehold,2023,3,3,1130,unspecified,pasir ris park,pasir ris,2671200.0,120.8327293305376,120.83505997586215,120.83311731513058,120.83515548790056,120.83126106746951,4559.870743821435,studio,1,6
condo,freehold,2010,2,2,872,unspecified,moulmein,novena,2380400.0,102.84459718043608,102.84475423942237,102.844623067568,102.84514689178167,102.84450015222986,6901.669758812616,other,1,8
house,freehold,1980,4,4,1392,unspecified,frankel,bedok,4830000.0,102.9268602880995,102.92701853779586,102.92688637378693,102.92741403214443,102.92676250727166,8026.34334783924,studio,2,9
condo,freehold,2024,3,3,1281,unspecified,ridout,tanglin,3245400.0,102.81207913577222,102.81223542581692,102.81210489473492,102.81262623965007,102.81198259319116,778.7683164258633,studio,2,4
condo,freehold,2023,3,2,1130,unspecified,ridout,tanglin,3032400.0,102.81207913577222,102.81223542581692,102.81210489473492,102.81262623965007,102.81198259319116,778.7683164258633,other,1,6
hdb,tenure-100,2017,3,2,1001,unspecified,yishun east,yishun,581700.0,102.84889300686073,102.84907185925428,102.84892252412955,102.84951676278062,102.84878223314445,34290.3973322783,other,1,3
condo,tenure-100,2023,1,1,452,unspecified,dhoby ghaut,museum,1342300.0,102.84962118540149,102.84977572176845,102.8496466523544,102.85016232511146,102.84952574814916,1441.4414414414414,other,1,3
condo,freehold,2022,4,4,1765,partial,upper paya lebar,serangoon,3360000.0,102.88198039134403,102.88214354276386,102.88200729339145,102.8825507964911,102.88187951981212,18829.290006677053,studio,1,5
condo,tenure-100,2023,1,1,646,unspecified,boulevard,orchard,1412200.0,102.83590240543042,102.83605755007981,102.83592797366828,102.83644561398626,102.83580658479636,890.1432913590968,other,1,4
condo,tenure-100,2025,4,3,2088,partial,holland drive,queenstown,7350000.0,102.79692159587546,102.79707847000459,102.79694745208859,102.79747068661082,102.79682468520329,26938.602082005524,other,1,5
hdb,tenure-100,2012,3,2,1000,unspecified,fajar,bukit panjang,577500.0,102.77593205869763,102.77610375549224,102.77596038386444,102.77653151418868,102.77582579956596,41615.55721765146,other,1,4
hdb,tenure-100,1985,2,2,721,unspecified,serangoon garden,serangoon,435800.0,102.87475401129608,102.87491940946526,102.87478128756504,102.87533205112541,102.8746517228487,11934.374173061657,studio,1,5
hdb,tenure-100,1996,4,2,1270,unspecified,tampines east,tampines,661500.0,102.96475136356916,102.96491637695082,102.96477857598364,102.96532808198928,102.96464931603832,30154.01616133711,studio,1,5
condo,tenure-100,2025,2,1,657,unspecified,gombak,bukit batok,892500.0,102.76093625953771,102.76110591664609,102.76096424491418,102.76152878734341,102.76083128716303,4042.6657981516914,other,2,5
house,freehold,2000,5,7,4350,unspecified,upper thomson,bishan,12075000.0,102.84098660211593,102.8411498356981,102.84101351773991,102.84155729282732,102.84088567957228,7634.757760748149,other,4,8
condo,tenure-100,2015,3,3,1453,unspecified,farrer court,bukit timah,2887500.0,102.80641726396253,102.80657483429535,102.80644323616755,102.80696871863259,102.80631991399676,11059.413027916966,studio,1,6
hdb,tenure-100,2000,3,2,1130,unspecified,bedok reservoir,bedok,648900.0,102.94016557510574,102.94032698634499,102.94019218744639,102.94073005872839,102.94006579998388,10704.829151431093,other,1,4
house,freehold,2010,5,6,5230,unspecified,sembawang springs,sembawang,6667500.0,102.83018309554589,102.83036518440268,102.83021315186221,102.83081785059161,102.83007028091332,8268.146261597236,other,4,8
hdb,tenure-100,2018,3,2,1001,unspecified,sembawang central,sembawang,609000.0,102.8183416616073,102.81852506130531,102.81837193623876,102.81898087221631,102.81822802044147,36197.2123985854,other,3,3
house,freehold,2013,5,6,5000,unspecified,seletar hills,serangoon,7119000.0,102.8766396608603,102.87681118887318,102.87666795818168,102.87723852714193,102.87653350619235,6307.118033208907,other,3,8
condo,freehold,2025,4,3,1313,unspecified,aljunied,geylang,2274800.0,102.88615747807107,102.88631460789547,102.8861833771132,102.88670742359842,102.88606040436581,13503.292250548708,other,1,4
hdb,tenure-100,1984,3,2,1119,unspecified,tampines east,tampines,617400.0,102.95327878911937,102.95344292670586,102.95330585562225,102.95385253372939,102.95317729419155,30154.01616133711,studio,1,5
condo,freehold,2025,3,2,936,unspecified,leedon park,bukit timah,2310000.0,102.8058476880269,102.80600431352168,102.80587350284885,102.80639593260508,102.80575093399567,3159.1856757419673,studio,1,4
condo,tenure-100,2027,2,2,689,unfurnished,bedok north,bedok,1375500.0,102.93576850647575,102.93592784136767,102.93579477294777,102.93632593618926,102.93567004102344,25545.463058338795,other,1,4
condo,freehold,2023,5,4,1819,unspecified,everton park,bukit merah,6161400.0,102.84099000352835,102.8411397673,102.84101467548767,102.84151492922004,102.84089757659237,12285.669340884064,other,1,6
hdb,tenure-100,1989,3,2,1130,unspecified,pasir ris drive,pasir ris,575400.0,102.96158176467308,102.9617500347026,102.96160951953861,102.96216954836981,102.96147766318863,33186.9740212221,studio,1,6
hdb,tenure-100,1997,3,2,1313,unspecified,bukit batok south,bukit batok,628800.0,102.7611378561612,102.76130110862331,102.76116477471697,102.76170862351857,102.76103692328785,8265.057573073516,other,2,4
condo,tenure-100,2024,2,2,753,unspecified,bugis,downtown core,2288000.0,102.85884198088863,102.85899603782941,102.85886736800815,102.85938149025851,102.85874684583538,3176.302640970735,studio,1,3
apartment,freehold,2023,4,4,1399,unspecified,pasir ris park,pasir ris,3272800.0,120.8327293305376,120.83505997586215,120.83311731513058,120.83515548790056,120.83126106746951,4559.870743821435,studio,1,6
hdb,tenure-100,1972,2,2,893,unspecified,balestier,novena,974400.0,102.85964333870893,102.85980311196988,102.85966967799733,102.86020226971885,102.8595445982726,16832.762379321084,other,1,4
condo,tenure-100,2023,3,2,926,fully,anchorvale,sengkang,1076200.0,102.89608043096482,102.89625394395145,102.89610905897484,102.89668603835129,102.89597302396076,32150.73160954099,other,2,5
condo,freehold,2025,3,2,1281,unspecified,nassim,tanglin,3922700.0,102.8356862316701,102.83584415947146,102.83571226349666,102.83623889629501,102.83558865566539,4541.768045417681,studio,2,4
condo,tenure-100,2024,3,2,904,unspecified,bugis,downtown core,2516800.0,102.86011137665581,102.86026556579499,102.86013678579897,102.8606513349844,102.86001615819804,3176.302640970735,studio,1,6
hdb,tenure-100,1995,4,2,1313,unspecified,pasir ris west,pasir ris,724500.0,102.9440803703262,102.94424974328295,102.94410830885965,102.94467190405825,102.94397557355406,22603.258810155363,studio,1,6
condo,freehold,2024,1,1,527,partial,chatsworth,tanglin,1541400.0,102.82566841545123,102.82582374648588,102.82569401470798,102.8262122588706,102.82557247746341,5118.110236220472,other,1,2
bungalow,freehold,2014,6,6,7015,partial,frankel,bedok,8998500.0,102.92535905927456,102.92551682341036,102.92538506407821,102.92591115381377,102.9252615847265,8026.34334783924,other,2,10
hdb,tenure-100,2017,3,2,1001,unspecified,joo seng,toa payoh,798000.0,102.8826545169853,102.88281582028584,102.88268111119352,102.88321864285902,102.8825548110762,7709.042754445706,other,2,3
condo,tenure-100,2026,3,2,958,unspecified,sembawang springs,sembawang,1459500.0,102.83184285057415,102.83202483682058,102.8318728898031,102.83247725673152,102.83173010062669,8268.146261597236,other,2,5
condo,tenure-100,2014,3,3,1184,unspecified,yishun east,yishun,1257900.0,102.85218682511044,102.85236569900388,102.85221634596925,102.85281065356322,102.8520760377688,34290.3973322783,studio,2,4
apartment,freehold,2025,4,4,2368,unspecified,newton circus,newton,10963400.0,102.83893751006387,102.8390940371086,102.83896330857525,102.83948541497044,102.8388408174728,1170.96018735363,other,2,7
condo,tenure-100,2017,2,2,764,unspecified,anchorvale,sengkang,1155000.0,102.89765780386358,102.89783125537181,102.89768642163737,102.89826320212468,102.89755043560376,32150.73160954099,other,2,5
condo,freehold,2023,2,2,667,partial,farrer court,bukit timah,1772400.0,102.80631242742349,102.80646943148884,102.80633830530512,102.80686195815997,102.80621543461304,11059.413027916966,studio,1,4
condo,tenure-100,2026,3,2,1076,partial,kampong java,kallang,2415000.0,102.85550786265696,102.85566458764788,102.85553369418437,102.8560564375138,102.8554110448911,10009.505703422054,studio,1,5
house,freehold,2013,5,5,4925,unspecified,toh tuck,clementi,6016500.0,102.7609129296817,102.76107361735157,102.76093942101974,102.76147498293905,102.76081361446516,9.624639076034649,other,1,7
hdb,tenure-100,2011,3,2,1140,unspecified,chinatown,outram,1260000.0,102.84418397219046,102.84433414343135,102.84420871203041,102.84471028179993,102.84409128819462,17864.441416893733,studio,1,4
condo,freehold,2013,5,3,5985,unspecified,nassim,tanglin,14184200.0,102.82894567102909,102.82910372559513,102.82897172395286,102.82949876740408,102.82884801520518,4541.768045417681,other,4,5
condo,tenure-100,2023,1,1,560,unfurnished,tanjong rhu,kallang,1761900.0,102.87240135921485,102.87255638291379,102.87242690740328,102.87294415112177,102.87230561414538,5417.926460548132,other,1,5
condo,freehold,2024,2,1,710,partial,chatsworth,tanglin,1937000.0,102.82566841545123,102.82582374648588,102.82569401470798,102.8262122588706,102.82557247746341,5118.110236220472,other,1,2
hdb,tenure-100,1984,2,2,796,unspecified,tampines east,tampines,472500.0,102.95450377157785,102.95466856450739,102.95453094724441,102.95507974258933,102.95440186329134,30154.01616133711,studio,1,5
hdb,tenure-100,2004,3,2,969,unspecified,north coast,woodlands,525000.0,102.77499952855473,102.7751830392856,102.77502982156528,102.77563912319387,102.77488581821551,5027.631196243819,other,1,7
hdb,tenure-100,1998,4,2,1270,unspecified,jurong west central,jurong west,735000.0,102.70880610199066,102.70896899944965,102.70883296127383,102.70937567139242,102.70870539405867,45396.938412246345,studio,1,5
condo,freehold,2024,5,4,1884,unfurnished,bukit batok south,bukit batok,4438400.0,102.76714699072849,102.76730934470581,102.7671737596398,102.76771470445364,102.76704662442394,8265.057573073516,studio,1,5
hdb,tenure-100,1982,2,2,645,unfurnished,crawford,kallang,446200.0,102.8655658453197,102.86572128610388,102.86559146296375,102.86611005538387,102.86546983732335,35508.47457627119,other,1,3
other,tenure-1000,2010,5,5,6437,unspecified,dairy farm,bukit panjang,9816300.0,102.77344199118549,102.77361087619397,102.77346984798675,102.77403189374692,102.77333750553836,5615.341047010276,other,4,6
hdb,tenure-100,2017,3,2,1001,partial,bendemeer,kallang,984900.0,102.86369219474804,102.86384964209726,102.8637181466204,102.86424322260919,102.86359492121858,27287.914003486345,other,2,3
condo,tenure-100,2017,1,1,549,unspecified,yunnan,jurong west,1470000.0,71.2724175309272,71.25349897838971,71.27059525576499,71.2695772838131,71.27074634140456,30594.207496713952,other,1,5
hdb,tenure-100,1981,3,2,990,unspecified,cheng san,ang mo kio,521800.0,102.86050478440545,102.86067371493866,102.86053264902193,102.86109482801714,102.86040026832498,29371.141571622895,other,2,5
house,freehold,2008,5,6,3966,unspecified,lorong ah soo,hougang,5019000.0,102.88363468897558,102.88380003347399,102.88366195632827,102.8842125450651,102.8835324342039,21326.294952161003,other,4,6
condo,freehold,2025,4,3,1195,unspecified,aljunied,geylang,2082900.0,102.88615747807107,102.88631460789547,102.8861833771132,102.88670742359842,102.88606040436581,13503.292250548708,other,1,4
apartment,tenure-100,2026,3,2,1421,unspecified,anson,downtown core,3514400.0,102.84638750424246,102.84653692114709,102.84641211843856,102.84691125057452,102.84629529597402,775.1937984496124,studio,1,5
apartment,freehold,2009,3,3,1603,unspecified,robertson quay,singapore river,4376200.0,102.8395866489309,102.83973951468418,102.83961183758315,102.84012211413403,102.83949226555734,5941.571259376233,other,2,4
hdb,tenure-100,1987,3,2,1291,unspecified,hong kah north,bukit batok,564900.0,102.74789824521876,102.74806509362573,102.74792576271533,102.74848123222786,102.74779504459168,30435.288640595903,studio,1,6
condo,tenure-100,2016,4,4,1367,unspecified,fernvale,sengkang,1837500.0,102.88365505051915,102.88382810568002,102.8836836022361,102.88425910433945,102.88354793251777,24586.051179126945,other,3,5
condo,tenure-100,2014,2,1,752,unspecified,woodgrove,woodlands,924000.0,102.78974509878392,102.78992471705078,102.78977474346645,102.79037146608862,102.7896338431885,20304.04999399111,other,1,5
bungalow,tenure-100,2010,7,8,7900,unspecified,swiss club,bukit timah,12264000.0,102.7841027123833,102.78426549522437,102.78412955277565,102.78467188055993,102.78400207525273,1539.570419489693,other,3,7
condo,freehold,2025,3,2,936,unspecified,leedon park,bukit timah,2520300.0,102.8058476880269,102.80600431352168,102.80587350284885,102.80639593260508,102.80575093399567,3159.1856757419673,studio,1,4
condo,freehold,2022,4,4,1281,unspecified,upper paya lebar,serangoon,2733200.0,102.88198039134403,102.88214354276386,102.88200729339145,102.8825507964911,102.88187951981212,18829.290006677053,studio,1,5
hdb,tenure-100,2011,3,2,1022,partial,geylang east,geylang,892500.0,102.90159746224829,102.90175533606534,102.9016234852583,102.9021499331519,102.90149991899129,11604.095563139932,other,3,4
hdb,tenure-100,2001,3,2,1011,unspecified,sembawang central,sembawang,545000.0,102.81996308215633,102.8201470729432,102.81999345524973,102.82060430079346,102.81984906814986,36197.2123985854,other,3,4
condo,freehold,2023,4,3,1345,partial,ridout,tanglin,3990000.0,102.81207913577222,102.81223542581692,102.81210489473492,102.81262623965007,102.81198259319116,778.7683164258633,other,1,6
hdb,tenure-100,1995,5,4,1905,unspecified,woodgrove,woodlands,1155000.0,102.77608103114162,102.7762609614737,102.77611072776834,102.77670846085807,102.77596957899213,20304.04999399111,other,1,7
hdb,tenure-100,1992,3,2,1205,unspecified,marymount,bishan,630000.0,102.84557607493069,102.84574198030721,102.84560343560737,102.84615584260924,102.84547346715615,15080.69853877094,studio,1,5
hdb,tenure-100,2010,3,2,1001,unspecified,telok blangah drive,bukit merah,1143300.0,102.80981940846449,102.8099694092945,102.80984411982747,102.81034514446274,102.80972683262814,13278.350515463917,other,2,4
condo,tenure-100,2017,4,3,1185,partial,lower seletar,yishun,1604400.0,102.84893285760735,102.84911030435889,102.8489621407386,102.8495518377151,102.84882297044967,2219.9750163583367,studio,2,4
hdb,tenure-100,1986,3,2,1119,unspecified,kampong ubi,geylang,556500.0,102.90530735277164,102.90546690865636,102.90533365597334,102.90586553808741,102.90520874853657,6283.280085197019,other,2,6
hdb,tenure-100,1995,4,3,1825,unspecified,woodlands west,woodlands,934500.0,102.78141940973276,102.78160102901307,102.7814493877017,102.78205257697931,102.7813068922328,20568.967608880263,other,1,7
hdb,tenure-100,2009,3,2,990,unspecified,waterway east,punggol,609000.0,102.9228099442777,102.92298363039261,102.92283860119686,102.92341613570905,102.9227024275519,33964.54472199838,other,3,3
condo,tenure-100,2023,5,4,1679,unspecified,kovan,hougang,2536300.0,102.89004717804559,102.89021471656983,102.89007481087398,102.89063248755198,102.88994353934277,12732.218002668582,other,1,5
house,freehold,2000,7,9,4350,unspecified,upper thomson,bishan,11340000.0,102.84098660211593,102.8411498356981,102.84101351773991,102.84155729282732,102.84088567957228,7634.757760748149,other,4,8
condo,freehold,2025,3,2,797,unfurnished,katong,marine parade,1827000.0,102.9011422940396,102.9012984351607,102.90116802843345,102.90168887800777,102.90104584362842,8674.698795180724,other,3,5
condo,freehold,2021,4,4,1259,unspecified,holland road,bukit timah,3879300.0,102.79812141633398,102.79828196961552,102.79814788538629,102.79868300716659,102.79802218514244,3200.2834199338686,other,2,5
hdb,tenure-100,2004,3,2,969,unspecified,kampong java,kallang,829500.0,102.85471377630034,102.8548706406444,102.85473963103767,102.8552628247475,102.85461687065806,10009.505703422054,other,1,5
condo,freehold,2025,3,2,1098,unfurnished,geylang east,geylang,2278600.0,102.90273818701131,102.90289520498811,102.90276406746715,102.90328774993453,102.90264118352285,11604.095563139932,other,1,7
condo,tenure-100,2019,3,2,786,partial,yishun east,yishun,1050000.0,102.84838973035404,102.84857070827718,102.84841960167078,102.84902070804661,102.8482776160444,34290.3973322783,other,1,5
hdb,tenure-100,1998,3,2,1076,unspecified,jurong west central,jurong west,575400.0,102.69902420945479,102.69918685324048,102.69905102645748,102.69959291851056,102.69892366171202,45396.938412246345,studio,1,5
condo,freehold,2021,3,2,990,unspecified,holland road,bukit timah,2845500.0,102.79812141633398,102.79828196961552,102.79814788538629,102.79868300716659,102.79802218514244,3200.2834199338686,other,2,5
condo,tenure-100,2026,4,4,1302,unspecified,sembawang springs,sembawang,1953000.0,102.83184285057415,102.83202483682058,102.8318728898031,102.83247725673152,102.83173010062669,8268.146261597236,other,2,5
condo,tenure-100,2016,2,2,678,partial,bishan east,bishan,1344000.0,102.85424203324888,102.85440685149526,102.85426921286552,102.85481810594027,102.85414011097231,15775.982167734745,other,1,5
hdb,tenure-100,2006,4,2,1248,unspecified,depot road,bukit merah,766500.0,102.81209625944136,102.81224710973437,102.81212111230536,102.81262488121858,102.81200314779124,14786.344110332353,other,2,4
house,freehold,2007,5,7,7000,unspecified,sembawang straits,sembawang,6594000.0,102.84044245556409,102.84062860750132,102.84047318869472,102.84109101371537,102.84032707808313,1465.3981893509285,other,4,6
hdb,tenure-100,1997,3,2,1076,unspecified,serangoon north,serangoon,617400.0,102.87891397750666,102.87908247668324,102.87894177032115,102.87950255266388,102.87880973312585,23280.268730831023,studio,1,5
hdb,tenure-100,2017,3,2,1216,unspecified,yishun east,yishun,724500.0,102.84889300686073,102.84907185925428,102.84892252412955,102.84951676278062,102.84878223314445,34290.3973322783,other,1,3
condo,tenure-100,2017,3,2,936,unspecified,sembawang springs,sembawang,1344000.0,102.83120956037047,102.83139262327582,102.8312397789367,102.83184762468032,102.8310961313706,8268.146261597236,studio,1,4
hdb,tenure-100,2002,3,2,1184,unspecified,saujana,bukit panjang,617400.0,102.77306815526852,102.7732399940612,102.7730965040803,102.77366809366052,102.77296180663318,38400.0,studio,1,5
condo,tenure-1000,2014,2,2,678,unspecified,chatsworth,tanglin,1669500.0,102.83134155798838,102.83149499692846,102.8313668420943,102.83187897194057,102.83124681326035,5118.110236220472,studio,1,4
condo,tenure-100,2027,3,2,968,unspecified,yishun east,yishun,1197000.0,102.84933749280894,102.84951844862594,102.84936736044598,102.84996839524554,102.84922539242325,34290.3973322783,other,2,5
condo,tenure-100,2023,1,1,527,partial,upper thomson,bishan,1037400.0,102.84258298617962,102.8427478161835,102.84261016772362,102.84315910064169,102.84248105671765,7634.757760748149,other,1,5
condo,tenure-1000,2024,3,2,1152,unspecified,sunset way,clementi,2368800.0,102.77024213102116,102.77040277647254,102.77026861535178,102.77080403937559,102.77014284224794,5861.603900819588,studio,2,5
condo,tenure-100,1996,2,2,947,unspecified,bayshore,bedok,1154000.0,102.94207386860076,102.94223075333693,102.94209972696741,102.94262297268259,102.9419769483735,2971.9163874262003,other,2,6
condo,freehold,2022,2,1,635,unspecified,upper paya lebar,serangoon,1567600.0,102.88198039134403,102.88214354276386,102.88200729339145,102.8825507964911,102.88187951981212,18829.290006677053,studio,1,5
condo,freehold,2022,2,2,657,unspecified,moulmein,novena,1785000.0,102.84855060033047,102.84870817660894,102.8485765736382,102.84910206860928,102.84845324578238,6901.669758812616,other,1,4
hdb,tenure-100,1981,3,2,893,partial,chinatown,outram,1050000.0,102.84512087543217,102.84527179789299,102.84514574040521,102.84564973723975,102.84502771761241,17864.441416893733,studio,1,5
hdb,tenure-100,1978,3,2,1044,unspecified,clementi woods,clementi,588000.0,102.77269321976756,102.7728499859093,102.77271905792858,102.77324194739894,102.77259637768366,15122.873345935726,studio,1,5
hdb,tenure-100,1989,3,2,1377,unspecified,pasir ris drive,pasir ris,701400.0,102.96169673593549,102.96186435680706,102.96172438267116,102.96228231403619,102.96159304388235,33186.9740212221,studio,1,6
condo,freehold,2017,3,3,1862,partial,tanglin,orchard,7039200.0,102.82766253540248,102.82781776630718,102.82768811798591,102.82820603830835,102.8275666605287,2208.955223880597,other,2,6
hdb,tenure-100,2001,3,2,1399,unspecified,senja,bukit panjang,848400.0,102.76342910194867,102.76360085921051,102.76345743715413,102.76402876484147,102.76332280492669,32277.164346295405,studio,1,5
hdb,tenure-100,2002,3,2,1184,unspecified,sengkang town centre,sengkang,630000.0,102.9027382074133,102.90291136543617,102.90276677631478,102.90334260773541,102.90263102415884,42307.42896268402,other,3,4
hdb,tenure-100,1988,3,2,1313,unfurnished,bangkit,bukit panjang,586800.0,102.77845335744415,102.7786229612528,102.77848133398923,102.77904570141501,102.77834841833997,29179.769392033544,studio,1,5
condo,tenure-100,2025,3,2,1076,unspecified,maritime square,bukit merah,2815000.0,102.82020822387811,102.82035596771624,102.82023255932197,102.82072628989506,102.8201170713543,1359.2670471613098,studio,1,10
condo,tenure-100,2027,3,3,1076,unspecified,yishun east,yishun,1398400.0,102.84933749280894,102.84951844862594,102.84936736044598,102.84996839524554,102.84922539242325,34290.3973322783,other,2,5
condo,tenure-1000,2011,1,1,452,partial,pasir ris park,pasir ris,656200.0,102.96628744176391,102.96645743812316,102.9663154841965,102.9668810901014,102.96618225136494,4559.870743821435,other,1,3
hdb,tenure-100,1979,3,2,1302,unspecified,aljunied,geylang,795900.0,102.88586378397218,102.88602206004545,102.88588987394407,102.88641762403972,102.88576598731667,13503.292250548708,other,2,5
hdb,tenure-100,2016,2,2,721,unfurnished,balestier,novena,586800.0,102.86454079495027,102.86470083235785,102.8645671782506,102.86510062265883,102.86444188781607,16832.762379321084,other,2,4
condo,freehold,2026,2,2,710,unspecified,lavender,kallang,1361800.0,102.86065673089283,102.86081435438173,102.86068271209665,102.86120835768065,102.8605593463294,12802.21957986524,other,1,4
condo,tenure-1000,2024,3,2,936,unspecified,sunset way,clementi,1870000.0,102.77024213102116,102.77040277647254,102.77026861535178,102.77080403937559,102.77014284224794,5861.603900819588,studio,2,5
hdb,tenure-100,2016,3,2,1001,unspecified,sembawang east,sembawang,575400.0,102.83768986167725,102.83787332404668,102.83772014679946,102.8383292821914,102.8375761806014,22872.971903442816,other,3,3
condo,tenure-100,2025,3,2,1012,partial,gombak,bukit batok,1575000.0,102.76093625953771,102.76110591664609,102.76096424491418,102.76152878734341,102.76083128716303,4042.6657981516914,other,2,5
hdb,tenure-100,2000,3,2,968,unspecified,jurong west central,jurong west,491400.0,102.70302157260484,102.70318436834508,102.70304841492927,102.70359079731422,102.70292092894293,45396.938412246345,studio,1,5
